Unnamed: 0,user_id,user_name,user_description,tweet_id,content,quotedTweet_id,mentionedUsers,#quote,#retweet,#reply,#like
89795,1491854442542641155,ClimeToken,1st Blockchain project that can help save the world through the power of the many Get returns on your investments while donating to Climate Change Organizations,1498942071658405888,"$CLIME is one of two tokens of #TheClimateEcosystem. As a holder you’ll be able to stake, farm, vote &amp; much, much more.
⠀
Pre-sale is coming soon. Stay tuned as we’ll make announcements via our social media 👀
⠀
#ClimateEmergency #ClimateChange #ClimateActionNow #ClimateCrisis https://t.co/owRIjnBI5i",0,,84,215,115,230
89875,480196886,BrentToderian,"City planner + urbanist at @TODUrbanWORKS. Global advisor on cities. Past Vancouver chief planner. Founding @CanUrbanism President. Speaker, writer, city-maker.",1498929490633760769,"That separated, protected lane SURE DOES fight #ClimateChange.

And air pollution. And inequality. And preventable diseases. And public health cost increases. And cost of living increases. And tax increases. And wasted space in cities.

And don’t forget, evil dictators. #Russia https://t.co/rZXoKLW3Op",0,,11,166,4,629
89885,1329800117344497665,ConstructiveVo1,,1498927555218341889,"In next week's episode @FarahNazSustain joins us for our #IWD2022 special episode, where she provides her professional insights and personal experience, with a global persepctive into the gender gap in #AEC. https://t.co/tm4v7RBFPJ #IWD #BreakTheBias #womeninAEC #climatechange",0,"[User(username='FarahNazSustain', id=1392933480, displayname='Farah Naz', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",0,19,0,200
90305,39002335,ellymelly,"Hey! :) I'm a writer/artist.
Like what you read? Consider supporting me on
❤ paypal.com/donate/?busine… ❤",1498825561506205696,"Politicians blame #Floods on #ClimateChange because they do not want anyone to talk about their mismanagement of water resources.

Badly managed floodgates and dam releases in urban areas are the major drivers of sudden (and unexpectedly dangerous) flooding on the East Coast.",0,,5,82,36,302
90340,402365986,nickihutley,"One of Australia's leading economists, using economics for a better world.  Economics spokesperson for the @climatecouncil",1498817714483126273,"For those who still question the economic wisdom of acting on #climatechange, #floods alone will cost the economy $30 billion per year by 2060, according to Business Roundtable on Natural Disasters (equivalent to 2010-11 Qld flood cost). This includes social/well-being costs.",0,,13,174,12,407
90638,16379018,alroker,Father🌞 Husband🌞Co-Host @TODAYshow/@3rdhourToday 🌞 Co-Host: Off The Rails on @TodaySXM🌞Owner/CEO: @AlRokerEnt🌞Author,1498760994666909699,"“The job of a TV weatherperson has evolved from a mélange of informing &amp; comic relief to one of talking about #climatechange, weather extremes &amp; vital information. The challenges are there. Are we up to those challenges? I say we are. We have to be""
@Cronkite_ASU #CronkiteAward https://t.co/1Ob3dCsLZ3",0,"[User(username='Cronkite_ASU', id=28657533, displayname='Cronkite School', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",19,53,24,549
90818,1106262646272069633,256Solomon,#Action demanding for #SaveNatureUg activism. #StrongerTogether. Regional coordinator #Africa for @Re_EarthOrg & a co-founder of @EcoBambooInter1,1498736448530432004,"No one is too small to take action... And no action is small. It is these small things we do that accumulate  #climateaction #climatejustice #climatechange #climatecrisis #trees #Nature 
I do it for me, for you and the planet as a whole. Joint efforts have greater impacts. https://t.co/mWqvPkNszj",0,,3,79,8,239
90919,1491854442542641155,ClimeToken,1st Blockchain project that can help save the world through the power of the many Get returns on your investments while donating to Climate Change Organizations,1498724518063484932,"$CLIME #token holders will have the right to vote for the organization that will receive donations via our platform.
⠀
That’s how you can participate in fighting consequences of the #ClimateChange 🙌
⠀
#ClimateCrisis #ClimateActionNow #StopTheDecline #ClimateEmergency https://t.co/VHNNJKiDFF",0,,285,671,379,721
91242,1429514676648480781,_GlobalCrisis_,#GlobalCrisis International online event organized by volunteers from 180 countries at #CreativeSociety platform. 100 languages of translation. #ClimateCrisis,1498689524574175240,"Excerpt from the letter by #PrimeMinister of #Tonga | Part 3/3
Where he said, ""I thank the #CreativeSociety project for the #courage to demand time for #truth - to call for bold, decisive #action, to end the #climatechange crisis.""

#GlobalCrisis conf. 
🔴 https://t.co/MAO4VTAhVI https://t.co/ziuNXvi6nD",0,,15,84,31,169
91368,3307869009,FullerProject,The award-winning global nonprofit newsroom dedicated to groundbreaking reporting on women.,1498674601819353099,"Women are particularly vulnerable to the effects of #climatechange due to social, economic, cultural, educational &amp; health inequalities. 

Different experiences = Different solutions

#women #environment

Subscribe to our newsletter to learn more: https://t.co/fKfrTgFBbN https://t.co/jAfJV3RGfd",0,,27,220,79,1183
