Source,Target
2657755585,921735019693051904
2657755585,270556937
1074388449686380544,714996735
1074388449686380544,192199152
1074388449686380544,9959702
1429514676648480781,54399803
1429514676648480781,1370100505934987267
1429514676648480781,1434963475827154949
1429514676648480781,569969724
1429514676648480781,1431892957217628160
1077214808,130186856
730198661058170880,1063583406196445184
730198661058170880,1339166129110065152
78718258,385883178
1048009291838316544,1296971175952711681
17463923,38146999
208930420,38146999
208930420,192842634
208930420,775875252555436032
208930420,44601026
208930420,3459051
208930420,71310291
208930420,882492124507377664
3053663748,140137815
1077214808,14926825
28817015,59514202
28817015,822215679726100480
28817015,803694179079458816
28817015,14159148
28817015,500704345
28817015,2836421
28817015,759251
28817015,20998647
28817015,807095
28817015,16581604
1191799251757604867,67611162
53139864,2228709626
192942213,38146999
192942213,2409488466
1334055538116718593,14732889
112807276,1134059457191776257
112807276,1214456673605165056
930316859181854721,168607383
930316859181854721,951060005750484998
930316859181854721,3021267989
1077214808,17220934
1077214808,1359700774910128128
66780587,3545818341
1334055538116718593,14732889
24671422,1134059457191776257
24671422,115099953
17463923,1134059457191776257
774328791606767617,1351716580720316417
774328791606767617,82119937
40955185,314125926
40955185,1189203597990469633
40955185,401907889
40955185,2969631215
40955185,1343645053
38146999,811229675758505984
123231225,482244952
123231225,59029811
