Source,Target,Label
PTIofficial,PakistanScouts,mentioned
Dr_Gilbz,NEON_UK,quoted
Dr_Gilbz,BBCNews,mentioned
CSR_India,Asia_Foundation,mentioned
CSR_India,DrSJaishankar,mentioned
CSR_India,NCWIndia,mentioned
CSR_India,MinistryWCD,mentioned
ElSherif,ExtremeELive,mentioned
ElSherif,NEOM,mentioned
ElSherif,tamerwagihsalem,mentioned
ClimateChangePK,zartajgulwazir,mentioned
ClimateChangePK,PakistanScouts,mentioned
ClimateChangePK,ArifAlvi,mentioned
_GlobalCrisis_,curryja,mentioned
_GlobalCrisis_,LizaKhromova,mentioned
_GlobalCrisis_,APashigreva,mentioned
_GlobalCrisis_,taliysky,mentioned
_GlobalCrisis_,DusanValecek,mentioned
GovInslee,GonzagaU,mentioned
SDPhq,WilliamClouston,mentioned
SDPhq,GBNEWS,mentioned
Lancs_FireDCFO,LancashireFRS,mentioned
WWF_Antarctica,WWF_Whales,mentioned
UNFCCC,UNEP,mentioned
GAIAnoburn,UNEP,mentioned
GAIAnoburn,ciel_tweets,mentioned
GAIAnoburn,brkfreeplastic,mentioned
GAIAnoburn,EIA_News,mentioned
GAIAnoburn,Greenpeace,mentioned
GAIAnoburn,PlasticPollutes,mentioned
GAIAnoburn,RethinkPlastic,mentioned
SteveJCornelius,IPBES,mentioned
GovInslee,WWU,mentioned
ltgrusselhonore,sejorg,mentioned
ltgrusselhonore,POTUS45,mentioned
ltgrusselhonore,VP,mentioned
ltgrusselhonore,UN,mentioned
ltgrusselhonore,Pontifex,mentioned
ltgrusselhonore,MSNBC,mentioned
ltgrusselhonore,CNN,mentioned
ltgrusselhonore,weatherchannel,mentioned
ltgrusselhonore,nytimes,mentioned
ltgrusselhonore,MikeBloomberg,mentioned
Ksareen30,SadhguruJV,mentioned
Genpact,Envision_Racing,mentioned
IPCC_CH,UNEP,mentioned
IPCC_CH,andersen_inger,mentioned
AfricaEuropeFdn,BritishCouncil,mentioned
green4EMA,vanessa_vash,mentioned
green4EMA,Riseupmovt,mentioned
JaanaBack,helsinkiuni,mentioned
JaanaBack,INAR_fin,mentioned
JaanaBack,eLTER_Europe,mentioned
GovInslee,algore,mentioned
GovInslee,ginamccarthy46,mentioned
awscloud,OctopusEnergy,mentioned
AfricaEuropeFdn,BritishCouncil,mentioned
TheElders,vanessa_vash,mentioned
TheElders,GlobalGoalsUN,mentioned
UNFCCC,vanessa_vash,mentioned
USAmbMex,ClimateEnvoy,mentioned
USAmbMex,lopezobrador_,mentioned
OlumideIDOWU,SEforALLorg,mentioned
OlumideIDOWU,DamilolaSDG7,mentioned
OlumideIDOWU,matzschmale,mentioned
OlumideIDOWU,UN_Nigeria,mentioned
OlumideIDOWU,ClimateWed,mentioned
UNEP,antonioguterres,mentioned
citizensclimate,jessdiggs,mentioned
citizensclimate,ProtectWinters,mentioned
MikeHudema,CopernicusECMWF,mentioned
sruffoocean,UN,mentioned
AaravSeth_,GretaThunberg,mentioned
DanielTurnerPTF,AC360,quoted
mildthing99,giswqs,mentioned
mildthing99,NASA_Landsat,mentioned
WorldBankAfrica,EllyanneCGithae,mentioned
UNCCD,FAO,mentioned
srkalesh,SadhguruJV,quoted
anttilip,CopernicusECMWF,mentioned
_GlobalCrisis_,LizaKhromova,mentioned
_GlobalCrisis_,CreativeScty,mentioned
Wangchuk66,EarthCareAwards,mentioned
Wangchuk66,TheJSWGroup,mentioned
Wangchuk66,timesofindia,mentioned
Laurie_Garrett,googlenews,mentioned
AdilNajam,LahootiMelo,mentioned
BonnieBouma,NatGeo,mentioned
flossiebeachcl1,GretaThunberg,mentioned
flossiebeachcl1,Fridays4future,mentioned
XRebellionUK,Shell,mentioned
ForumSEC,henrytpuna,quoted
Gekko_au,gailonghurst,mentioned
Gekko_au,MikeCarlton01,mentioned
Gekko_au,abc730,mentioned
HarunanySumaiya,Fridays4future,mentioned
HarunanySumaiya,FFFMAPA,mentioned
HarunanySumaiya,Riseupmovt,mentioned
AksuLehikoinen,CouetJosephine,mentioned
AksuLehikoinen,EmmaMarjakangas,mentioned
AksuLehikoinen,and_san_vult,mentioned
AksuLehikoinen,helsinkiuni,mentioned
rickspinradnoaa,NOAA,mentioned
rickspinradnoaa,NSF,mentioned
FullerProject,FullerProject,mentioned
UNCCD,RamsarConv,mentioned
judah47,MeaganPhelan,mentioned
SaveVirunga,TotalEnergies,mentioned
GovInslee,psr_washington,quoted
drrachellowe,LancetCountdown,mentioned
WMO,neilrkaye,mentioned
UN_Innovation,UN,mentioned
RishiMadlani,CamdenLabour,quoted
FFFPunjab,Fridays4future,mentioned
