Source,Target,Label
122706519,1427664402,mentioned
122706519,2859570452,mentioned
122706519,134758540,mentioned
299273962,33584794,mentioned
137207244,818111462791061507,mentioned
3074982280,17471979,mentioned
913288098632658949,1006419421244678144,mentioned
913288098632658949,1053768884732547072,mentioned
1122858502874124288,20663500,mentioned
219081096,1435518902977523716,quoted
1210379403332423680,15500199,mentioned
1210379403332423680,160856325,mentioned
1210379403332423680,132731802,mentioned
1207312264161832960,1053768884732547072,mentioned
1207312264161832960,1317125122042388485,mentioned
1207312264161832960,1214456673605165056,mentioned
907534014902390784,1361234582503325696,mentioned
907534014902390784,968760479987519488,mentioned
907534014902390784,815187427614748672,mentioned
907534014902390784,168607383,mentioned
3431710900,14342564,mentioned
3431710900,16245822,mentioned
3307869009,3307869009,mentioned
74447139,1480051292,mentioned
48774028,1022127404,mentioned
550342513,79962986,mentioned
1077214808,79728388,quoted
2597693048,748210002352017409,mentioned
113062227,842679437263028226,mentioned
913690691359924226,14159148,mentioned
378790200,218629000,quoted
1324208764627550208,1053768884732547072,mentioned
1328230121040347136,1322280106497314816,mentioned
140137815,1478843840,mentioned
140137815,32372834,mentioned
2437422650,384923143,mentioned
1463176934,2990627655,quoted
53435986,384923143,mentioned
24290265,33933259,mentioned
24290265,622886707,mentioned
774328791606767617,14185317,mentioned
93714983,102448827,mentioned
1447138928570421256,1429514676648480781,mentioned
1240094473637343232,1366425991220985862,mentioned
1715151974,1006419421244678144,mentioned
1715151974,15480686,mentioned
1715151974,1053768884732547072,mentioned
1715151974,229016226,mentioned
1715151974,791812078730223616,mentioned
2881236430,765510741411655680,mentioned
38146999,104277809,mentioned
3189885294,1006419421244678144,mentioned
3189885294,1134059457191776257,mentioned
3189885294,1087723402226487297,mentioned
3189885294,1198157844,mentioned
